name,date
WIRED Magazine lunch w/ Brian Alexander,1/1/2000
JDS - JERRY HAGSTROM 11/02/00,11/2/2000
"Merrill Lynch Bull Session -- July 25, 2001",7/25/2001
Phil Reeker Briefing 10/01/01,10/1/2001
Phil Reeker Briefing 11/20/2001,11/20/2001
"Gail Fosler -- December 7, 2001",12/7/2001
"WIRED Magazine -- January 15, 2002",1/15/2002
Conference Board Briefing - Productivity 3/20/2002,3/20/2002
Forum on Japan 04/25/2002,4/25/2002
MERCURIO BRIEFING 9/3/02,9/3/2002
Mayor Bloomberg 9/4/02 -- Final List of Attendees,9/4/2002
z Mayor Bloomberg 9/4/02 -- List of No-Shows for C,9/4/2002
PERSONAL ACCOUNTS ROUNDTABLE DISSCUSSION 9/9/02,9/9/2002
"NATO Briefing October 3, 2002",10/3/2002
"Briefing at Standard and Poor's October 4, 2002",10/4/2002
"Briefing by Phil Reeker October 8, 2002",10/8/2002
"PHILIP REEKER BRIEFING October 28, 2002",10/28/2002
Background Briefing on Iraq 11/08/2002,11/8/2002
Internet Worksop 12/4/02,12/4/2002
Consumer Spending Review,12/13/2002
REEKER ROUND TABLE,12/13/2002
Natsios UN lunch/roundtable 1-13-03,1/13/2003
Clinton Foundation - NYU Conference 01/14/2003,1/14/2003
Dow Jones 01/16/2003,1/16/2003
REEKER 01/16/2003,1/16/2003
Biggs Roundtable 1/24/03,1/24/2003
Sister Cities Press Conference 2/7/03,2/7/2003
Natsios 3/5/03,3/5/2003
Walter Russell Mead 03/11/03,3/11/2003
Sheik Al-Sahlani 3/20/03,3/20/2003
"Gail Fosler April 3, 2003",4/3/2003
"Conference Board event April 15, 2003",4/15/2003
Toyota Hydrogen Fuel - 4/17/03,4/17/2003
GPS Briefing 4/23/03,4/23/2003
Briefing on Oil and Energy Markets 5/8/03,5/8/2003
Phil Reeker roundtable  6/13/03,6/13/2003
Briefing by Iraqi Delegation 06/25/03,6/25/2003
BRIEFING ON NEW VISA PROCEDURES 7/30/03,7/30/2003
Daniel Libeskind 09/03/03,9/3/2003
George Tamaro and Peter Rinaldi 09/05/03,9/5/2003
Rudolph Giuliani Briefing 09/10/03,9/10/2003
Anne-Marie Slaughter 09/15/03,9/15/2003
A/S Kansteiner 09/24/03,9/24/2003
A/S Kim Holmes 9/24/03,9/24/2003
U/S Paula Dobriansky 9/26/03,9/26/2003
INTERNET WORKSHOP 10/03/03,10/3/2003
Standard & Poor's Briefing 10/10/03,10/10/2003
Amb. Sauerbrey roundtable 10/15/03,10/15/2003
Council on Foreign Relations 10/21/03,10/21/2003
Investigative Journalism 10/22/03,10/22/2003
Latin American Science 10/28/03,10/28/2003
Italian Fashion Preview at BG 10/29/03,10/29/2003
Newsweek Luncheon with Tom Daschle 11/17/03,11/17/2003
Conference Board 12/16/03,12/16/2003
Homeland Security DVC Briefing 12/22/03,12/22/2003
Asa Hutchinson - 1/08/04,1/8/2004
Adam Ereli 01/14/04,1/14/2004
Max Boot Briefing,1/21/2004
Wynton Marsalis - -2/4/04,2/4/2004
Angela O'Neill R/T,2/24/2004
OSAMA Film Viewing - 3/17/04,3/17/2004
Anne-Marie Slaughter,3/24/2004
Productivity,4/13/2004
D. Ballard - CPA/Iraq Briefing 4-14-04,4/14/2004
National Endowment for Democracy 4/22/04,4/22/2004
NED Briefing,4/22/2004
"Walter Russell Mead -- April 27, 2004",4/27/2004
"Business for Diplomatic Action -- April 30, 2004",4/30/2004
Kerry Sheridan - Bagpipes - 06/09/04,6/9/2004
Immigration -- 6/24/2004,6/24/2004
Spitzer Briefing - 6/29/04,6/29/2004
"Mayor of Anchorage -- July 1, 2004",7/1/2004
DNC Chair Briefing - 7/13/04,7/13/2004
U.S. Visa briefing 7/20/04,7/20/2004
U/S John Taylor 8/19/04,8/19/2004
Briefing on Oil and Energy Markets,8/24/2004
Daniel Libsekind -- 09/07/04,9/7/2004
Agriculture-Secy Veneman 9/20/04,9/20/2004
U/S Alan Larson,9/22/2004
Beth Jones,9/23/2004
SECRETARY OF STATE POWELL,9/23/2004
Commissioner Bonner,9/29/2004
City of Savannah,10/5/2004
GLOBAL SUPPLY CHAIN BRIEFING,10/5/2004
Conference Board,10/19/2004
Mickey Carroll,10/26/2004
U/S Taylor,10/28/2004
Women's Vote-Ethel Klein,10/28/2004
Univ. OK / European journalists,11/15/2004
Huntsville,11/16/2004
Natsios,11/16/2004
Amb's Danforth/Hall,12/2/2004
Climate Change,12/16/2004
Int'l Crisis Group,1/27/2005
Tuck School of Business,1/27/2005
Sree Internet Surfing,2/16/2005
NYC2012,3/8/2005
Ambassador Khalilzad at New York FPC,3/9/2005
Center for Communication,3/14/2005
Crisis in West Africa,3/22/2005
Blogging with Sree,3/23/2005
Cntr. For Communications,4/18/2005
Roundtable with Women Leaders at UN,4/27/2005
Productivity,5/17/2005
Customs & Border Roundtable,5/24/2005
Nepal Roundtable 6/10/05,6/10/2005
Africa: Open for Business 6/20,6/20/2005
Africa: Open for Business Final,6/20/2005
UN Koran Discussion,6/27/2005
BDA Reinhard/Anholt,7/28/2005
NASA Business Solutions,9/1/2005
9/11 Memorial Briefing,9/9/2005
Freedom Tower with David Childs,9/9/2005
UNGA Pre Brief with A/S Silverberg,9/12/2005
Rwanda Technology Briefing,9/15/2005
UNGA Briefing U/S Burns,9/15/2005
UNGA Briefing U/S Dobriansky,9/15/2005
UNGA Briefing with A/S Frazer,9/16/2005
Hage - World Food Day,10/13/2005
NYSE CEO John Thain,10/13/2005
Amb. Neumann,10/21/2005
Global Governance,10/25/2005
Halloween Parade,10/26/2005
Pakistan earthquake relief NGO assist,10/27/2005
Zainab Salbi,11/2/2005
ICG roundtable on Zimbabwe,11/10/2005
Center For Communication,11/14/2005
USAF R/T on Hum. Asst.,12/6/2005
Treasury U/S Adams,12/12/2005
NYE Briefing,12/13/2005
"Craigslist director, Craig Newmark",1/11/2006
Social Security Numbers,1/18/2006
Conference Board,1/25/2006
Louisiana Recovery,1/26/2006
Council on Foreign Relations,2/2/2006
Reporters Without Borders,2/28/2006
Bloggers,3/3/2006
Amb. Bolton,3/9/2006
A/S Welch,3/23/2006
ICG South Caucuses,3/30/2006
Tuck School of Business,4/10/2006
Global Philanthropy Index,4/18/2006
NYWIFT,4/20/2006
AMB Gross,4/27/2006
Ground Zero Tour,5/8/2006
DCPI/NYPD Commissioner Browne,5/12/2006
Treasury A/S Clay Lowery,5/12/2006
SBA Roundtable,5/22/2006
U.S. Soccer President Sunil Gulati,5/22/2006
"Ann Moore, FORTUNE/State Dept IV Mentoring Program",5/24/2006
IPFM,5/24/2006
Dr. Fauci Conference Call,5/31/2006
Global AIDS Coordinator Dr. Mark Dybul,6/1/2006
FBI Roundtable,6/5/2006
Muslim Leaders of Tomorrow Roundtable,6/15/2006
Cosmos Film,6/29/2006
Daniel Libeskind,7/10/2006
Ground Zero and 7 WTC Tour,7/19/2006
9/11 WTC Health Monitoring Program,7/27/2006
9/11 Family Orgs,8/3/2006
FEMA Director David Paulison,8/14/2006
Dikembe Mutombo,8/16/2006
WTC Memorial and Museum Briefing,8/28/2006
INL PDAS Schweich - Afghan poppies,8/31/2006
Schweich - Afghan poppies,8/31/2006
Sr. State Dept. Official - Afghan Poppy Cultivation,8/31/2006
Japan Desk Director- Backgrounder w/Japanese Media,9/5/2006
Robert Joseph Briefing,9/6/2006
Bellinger- Update on Detainee Issues,9/7/2006
Cully Stimson- DOD Directive on Detainee Operations,9/7/2006
Mayor Bloomberg,9/8/2006
Brigadier Gen. Kimmitt briefing,9/12/2006
Kimmitt Media Roundtable,9/12/2006
U/S Lavin on Bus. Mission to India,9/12/2006
Literacy Conference Roundtable,9/14/2006
2007 Presidential Certification Report,9/15/2006
A/S Silverberg,9/18/2006
US-China Energy Policy,9/19/2006
Korea Desk Director,9/20/2006
NATO Background Briefing,9/20/2006
U/S Dobriansky,9/20/2006
A/S Frazer,9/21/2006
Charlie Cook- Preview of the 2006 Midterm Elections 10/27/06,9/27/2006
Foreign Policy Update - Tom Casey,10/3/2006
NYSE CEO John Thain,10/3/2006
Roundtable on Turkey - Amb Wilson,10/3/2006
Sr. Administration Official - Future of U.S.-Japan Relations,10/11/2006
Election Factors Roundtable,10/18/2006
GEN Jones Roundtable,10/24/2006
Independent Monitoring Commission,10/24/2006
National Space Policy - EUR list,10/24/2006
Iraq Update David Satterfield,10/26/2006
Election 2006 - View from Wall Street,11/2/2006
M.D. Anderson Cancer Center,11/2/2006
Chuck Todd - Elections Update,11/3/2006
Elections 2006 Wrap-Up,11/8/2006
Bohigian Roundtable NEA Bilat Trade11/9,11/9/2006
Tyndall Review of Network TV Coverage,11/9/2006
USTR Schwab Roundtable,11/9/2006
APEC Background,11/13/2006
Holiday Briefing - Top of the Rock,11/13/2006
Iran Policy - Amb. James Jeffrey,11/13/2006
Kimmitt Roundtable & TV 1-on-1s -- 11/15,11/15/2006
GEN Jones Ceremony,12/1/2006
110 Congress Preview,12/5/2006
Conflict Diamonds,12/12/2006
Conflict Diamonds,12/12/2006
Number 7 Delivery,12/13/2006
Volker EU brief,12/13/2006
Roundtable with A/S Tom Shannon,12/14/2006
Time Square Briefing,12/14/2006
Harbert Roundtable on Five Party Ministerial,12/20/2006
Paul Rosenzweig-2006 DHS Review/2007 Priorities,12/20/2006
Roundtable with A/S Bohigian on his trip to the Border,1/12/2007
WHTI,1/16/2007
Brazilian Youth Ambassador Roundtable,1/17/2007
US Economy: Wall Street Forecasts for 2007,1/17/2007
BGEN Cucolo Media Roundtable - Jan 18,1/18/2007
Breakout Strategy Roundtable,1/18/2007
Gallup Poll: A First Look at the 2008 Pres Race,1/18/2007
Army Secretary Harvey at Heritage Jan. 22,1/22/2007
Caleb Cuba Roundtable,1/22/2007
President's Initiative on Gas/Energy,1/25/2007
Navy Secretary at Heritage,2/7/2007
Look at the Democratic Candidates,2/8/2007
USAF COS Gen. Moseley,2/21/2007
LTG Obering 1-on-1s,2/22/2007
missile defense brief,2/22/2007
Euros and the Queen,2/28/2007
Tim and Nina Zagat,2/28/2007
INCSR Roundtable with Spanish Media,3/1/2007
Amb. Hill,3/6/2007
American Philanthropy r/t,3/7/2007
Queen Quet,3/8/2007
Business Development to Saudi Arabia,3/12/2007
Sree Sreenivasan,3/14/2007
AMB Dybul/AIDS,3/22/2007
Iraqi Refugees,3/22/2007
SCA Regional Update,3/22/2007
Republican Candidates Briefing,3/27/2007
Fried-Obering MDA Briefing on Missile Defense,3/28/2007
ETS,3/29/2007
Amb. Dybul Roundtable,4/4/2007
Amb. Wisner on Kosovo,4/4/2007
FBI Int'l Operations,4/11/2007
FBI 101 Briefing,4/16/2007
Campaign Finance,4/18/2007
ICAF Fellows Media Roundtable,4/18/2007
Syrian Elections,4/19/2007
Geneva Conference / Displaced Iraqis,4/23/2007
PRM Sauerbrey on Iraqi Refugees,4/23/2007
Volker Roundtable,4/23/2007
PDAS Volker NATO Brief,4/25/2007
International Trade - Commerce A/S Hernandez,4/27/2007
Ambassador Gray on US-EU Summit,4/30/2007
Herbold Business Roundtable,5/1/2007
Wikipedia - Jimbo Wales,5/2/2007
Time 100,5/3/2007
A/S Powell IV Fortune Briefing,5/24/2007
USAF Gen. Holmes,5/24/2007
Under Secretary Lowery (Treasury),5/31/2007
Craig Newmark,6/5/2007
Iowa Caucuses,6/11/2007
LTG Stultz -- 1-on-1 Interviews,6/18/2007
A/S Karsner,6/21/2007
LTG Stultz Briefing on Role of the US Army Reserve -- 06/21,6/21/2007
PDUSD Henry Briefing on AFRICOM,6/22/2007
PDUSD Henry on AFRICOM -- 1-on-1s,6/22/2007
Walters Briefing on Afghan Counternarcotics,6/25/2007
U/S Hughes Briefing on Muslim Outreach,6/27/2007
Body Armor Briefing / Combat Feeding Lunch -- July 10,7/10/2007
DVA & USCIS Citizenship Ceremony July 24,7/24/2007
USAF Gen. Holmes,7/24/2007
Preview of Treasury Sec Paulson's Trip to China,7/26/2007
Tom Casey brief,8/1/2007
Peace Corps,8/6/2007
Luu Greek Fires roundtable,9/5/2007
Roundtable on Hurricane Felix,9/6/2007
WTC Update,9/6/2007
2008 Elections-9/18 Mike Allen,9/11/2007
Halperin,9/13/2007
"Roundtable w/ LTG  Blum 'National Guard Update' Tue, Sept 18",9/18/2007
NDU Media Panel,9/19/2007
"'Iraq - Next Steps After the Surge' Thurs, Sept. 20th, 1:00PM",9/20/2007
Major Economies Meeting on Energy Security and Climate Change,9/20/2007
A/S Silverberg: UNGA Preview,9/24/2007
U/S Hughes,9/25/2007
Amb. Aguirre roundtable,9/26/2007
Women's Empowerment,9/26/2007
Frazer,9/27/2007
AMB Boucher,9/28/2007
